participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,human_uniqueness_scale,human_nature_scale,gender,age
69,3,1,0,3,0.83,0.5,2,61
70,2,4,1,0,0.5,2,2,40
71,3,3,0,2,1.83,2.17,2,41
72,1,1,0,5,1.5,1.67,1,23
73,3,3,0,4,-0.17,-0.5,1,23
74,1,3,0,1,0.83,2,1,31
75,1,4,0,3,1.83,2.67,2,45
76,2,2,1,4,0.67,1.83,1,38
77,1,2,1,5,-0.17,0.83,2,23
78,2,1,0,0,1.17,0.67,1,41
79,4,3,1,1,-1,0.67,2,39
80,2,3,0,1,0.83,2,2,23
81,1,1,0,1,-0.17,-0.33,1,21
82,4,1,0,1,0.33,-0.5,2,27
83,1,1,0,3,1.33,0.83,2,43
84,1,3,1,3,-0.17,0.17,1,28
85,4,1,0,1,0.17,0,2,28
86,4,1,0,1,-0.33,0.33,2,22
87,3,3,1,3,2.17,2,1,29
88,3,3,1,0,0,0.67,2,45
89,2,3,0,5,1,0.33,2,56
90,1,1,0,3,1.33,0,1,25
91,2,1,1,2,2.5,2.33,1,38
92,2,1,0,4,0,0.33,2,19
93,1,3,1,1,-0.33,1,1,59
94,4,2,1,3,-1.17,-0.17,1,33
95,3,1,1,5,-0.33,-0.17,1,23
96,2,3,1,2,-0.67,-0.17,2,19
97,2,4,1,0,0.33,0.83,2,31
98,4,3,1,2,0.67,1.33,1,34
99,4,1,0,1,1.5,0.83,1,45
100,3,2,0,1,-0.67,0.33,1,47
101,4,1,0,1,-0.5,-0.33,2,31
102,4,3,1,2,2,1.83,1,32
103,4,4,1,1,0.33,0.83,1,49
104,4,3,0,6,0.33,-0.83,2,42
105,2,3,1,0,3,2.67,2,59
106,2,3,1,2,2,2.33,1,20
107,4,3,0,5,1.17,0,2,46
108,4,2,0,2,-0.83,0.67,2,23
109,1,3,1,0,1.5,0.5,1,24
110,2,1,0,2,1,-0.67,1,19
111,2,1,0,2,1.17,0.33,2,25
112,2,2,1,0,1,1,1,22
113,3,3,1,4,2,2.67,1,25
114,1,3,0,4,1.33,1.33,1,34
115,4,3,1,2,0.5,0.67,1,26
116,2,1,0,0,1.83,2.5,2,58
117,2,3,1,0,2.5,1.83,1,35
118,3,3,1,4,1.5,1.5,1,25
119,1,4,0,2,1,0.67,1,28
120,3,4,0,2,0,0.17,1,30
121,4,1,0,0,2.83,2,2,42
122,1,4,0,2,1,0.17,1,35
123,1,3,1,1,1,1.5,1,43
124,3,1,0,1,-1.33,-1.17,2,21
125,1,1,1,1,0.67,-0.17,1,23
126,4,1,0,3,1.5,1.83,1,25
127,2,3,0,4,1,0.5,1,24
128,3,1,0,5,1,1.17,2,67
