ID,Mode,Ephemerality,gender,age_1,Stimulus,ClickCount,FirstClick,LastClick,PageSubmit,RecommendationFollowed
199,PermanentVisual,0,2,43,shampoo,1,11.303,11.303,27.009,0
200,PermanentVisual,0,2,43,toaster,1,25.785,25.785,27.289,1
201,Auditory,1,2,30,brownies,1,1.771,1.771,2.723,1
202,Auditory,1,2,30,hotel,1,2.036,2.036,3.609,1
203,Auditory,1,2,30,shampoo,1,2.138,2.138,3.879,1
204,Auditory,1,2,30,toaster,1,3.168,3.168,4.289,1
205,PermanentVisual,0,1,31,brownies,2,7.266,7.803,9.355,0
206,PermanentVisual,0,1,31,hotel,1,11.85,11.85,13.517,1
207,PermanentVisual,0,1,31,shampoo,1,5.134,5.134,7.14,0
208,PermanentVisual,0,1,31,toaster,3,11.131,22.246,24.064,1
209,PermanentVisual,0,2,29,brownies,1,30.479,30.479,31.624,0
210,PermanentVisual,0,2,29,hotel,1,52.175,52.175,53.598,0
211,PermanentVisual,0,2,29,shampoo,1,16.687,16.687,17.985,1
212,PermanentVisual,0,2,29,toaster,1,75.487,75.487,77.745,1
213,DisappearingVisual,1,1,34,brownies,1,10.078,10.078,11.148,0
214,DisappearingVisual,1,1,34,hotel,10,19.491,35.285,36.893,0
215,DisappearingVisual,1,1,34,shampoo,1,18.27,18.27,20.539,0
216,DisappearingVisual,1,1,34,toaster,24,3.522,35.852,36.96,0
217,PermanentVisual,0,2,23,brownies,1,5.707,5.707,8.735,0
218,PermanentVisual,0,2,23,hotel,3,2.55,9.557,32.975,0
219,PermanentVisual,0,2,23,shampoo,2,8.53,9.463,11.301,1
220,PermanentVisual,0,2,23,toaster,3,1.193,9.858,13.391,0
221,PermanentVisual,0,1,42,brownies,1,33.585,33.585,35.301,0
222,PermanentVisual,0,1,42,hotel,4,1.038,29.682,30.579,0
223,PermanentVisual,0,1,42,shampoo,2,21.292,21.302,28.174,0
224,PermanentVisual,0,1,42,toaster,2,30.356,32.709,33.544,0
225,Auditory,1,2,70,brownies,2,30.898,33.491,35.75,1
226,Auditory,1,2,70,hotel,6,12.642,56.438,58.149,0
227,Auditory,1,2,70,shampoo,2,19.437,50.242,52.215,1
228,Auditory,1,2,70,toaster,14,10.63,78.811,82.663,1
229,PermanentVisual,0,2,30,brownies,1,8.231,8.231,10.121,0
230,PermanentVisual,0,2,30,hotel,1,20.186,20.186,22.728,0
231,PermanentVisual,0,2,30,shampoo,2,27.234,28.322,30.693,0
232,PermanentVisual,0,2,30,toaster,1,13.161,13.161,15.911,1
233,DisappearingVisual,1,2,47,brownies,2,3.536,6.852,8.052,0
234,DisappearingVisual,1,2,47,hotel,2,1.545,9.541,10.861,0
235,DisappearingVisual,1,2,47,shampoo,1,2.47,2.47,5.393,1
236,DisappearingVisual,1,2,47,toaster,1,11.402,11.402,13.545,1
237,Auditory,1,2,31,brownies,1,8.862,8.862,10.719,0
238,Auditory,1,2,31,hotel,3,2.051,37.514,41.602,0
239,Auditory,1,2,31,shampoo,2,22.496,23.318,25.347,1
240,Auditory,1,2,31,toaster,1,32.328,32.328,34.507,1
241,PermanentVisual,0,1,36,brownies,1,1.791,1.791,2.618,1
242,PermanentVisual,0,1,36,hotel,1,1.499,1.499,2.925,1
243,PermanentVisual,0,1,36,shampoo,1,1.798,1.798,2.625,1
244,PermanentVisual,0,1,36,toaster,1,3.183,3.183,4.639,1
245,Auditory,1,1,32,brownies,1,1.92,1.92,5.518,1
246,Auditory,1,1,32,hotel,2,2.519,3.635,4.343,1
